"filename", "language", "JSON with Comments", "TypeScript", "Properties", "CSS", "JSON", "JavaScript", "Markdown", "XML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 15, 142
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 6, 37
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 6, 58
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 9, 77
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 14, 123
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 19, 206
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 25, 177
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 6, 27
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 6, 49
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 16, 141
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\julia\Desktop\Development\interiorly\mystahd\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 6, 32
"c:\Users\julia\Desktop\Development\interiorly\mystahd\config\products.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
